First Name,Last Name,Email,Phone
Karmen,mihail,mihail@gmail.com,613-200-3333
Smith,aurko,aurko@gmail.com,613-222-3333 
Karl,Lucia,nword@gmail.com,613-211-3333
Becky,Samantha,Samantha@gmail.com,613-211-3333
Korupan,Adrian,Adrian@gmail.com,613-211-3333
Pilsons,Owen,Owen@gmail.com,613-211-3333
Sandler,Adam,Adam@gmail.com,613-211-3333
Bright,Jane,Jane@gmail.com,613-211-3333
Johnson,Tim,Tim@gmail.com,613-211-3333
Western,Anika,Anika@gmail.com,613-211-3333
Star,Lily,Lily@gmail.com,613-211-3333
Stint,Jewel,Jewel@gmail.com,613-211-3333
Bernall,Mara,Mara@gmail.com,613-211-3333
Morisette,Adam,Adam@gmail.com,613-211-3333
Gasperatto,Teo,Teo@gmail.com,613-211-3333
